,품종,성별,무게(Kg),상태,나이,성격,색,중성화유무,건강,칩등록여부,보유물건
941,포메라니안,수컷,4,입양,38,중립,혼합색계열,아니오,미상,미상,유
942,믹스견,수컷,20,미입양,62,중립,흰색계열,아니오,미상,미상,유
943,믹스견,암컷,8,미입양,38,중립,검정색계열,아니오,발발이크기,미상,무
944,믹스견,암컷,0.9,미입양,2,중립,검정색계열,아니오,발가락만 흰털임,미상,무
945,믹스견,암컷,1,미입양,2,중립,혼합색계열,아니오,미상,미상,무
946,믹스견,암컷,1,미입양,2,중립,혼합색계열,아니오,코에 색소가 차지 않음,미상,무
947,믹스견,수컷,1,미입양,2,중립,검정색계열,아니오,미상,미상,무
948,말티즈,수컷,5,입양,86,중립,흰색계열,예,미상,있음,무
949,말티즈,암컷,3,입양,86,중립,흰색계열,아니오,"관리 잘 되어있음, 미용한지 얼마 안되어 보임",미상,무
950,믹스견,암컷,12,미입양,146,중립,흰색계열,미상,미상,미상,무
951,말티즈,암컷,8,미입양,25,중립,흰색계열,미상,미상,미상,유
952,믹스견,수컷,9,미입양,145,사람을 경계함,황색계열,아니오,미상,미상,무
953,시바,수컷,13,미입양,73,사람을 잘 따름,황색계열,아니오,미상,미상,무
954,믹스견,암컷,5,미입양,1,중립,혼합색계열,아니오,살집이 있는 편,미상,무
955,믹스견,암컷,4,미입양,1,중립,흰색계열,아니오,미상,미상,무
956,믹스견,암컷,2.5,미입양,1,중립,흰색계열,아니오,미상,미상,무
957,말티즈,암컷,4,입양,61,중립,흰색계열,미상,관리되어 있음,미상,무
958,믹스견,암컷,5,미입양,121,사람을 잘 따름,흰색계열,미상,미상,미상,무
959,믹스견,수컷,15,미입양,37,사람을 경계함,흰색계열,아니오,미상,미상,무
960,믹스견,수컷,4,입양,1,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
961,믹스견,암컷,15,미입양,49,사람을 경계함,흰색계열,미상,미상,미상,무
962,믹스견,암컷,7,입양,1,사람을 경계함,흰색계열,아니오,미상,미상,무
963,웰시 코기 카디건,암컷,6.5,입양,1,사람을 경계함,혼합색계열,미상,아이홀이 깊음,미상,무
964,믹스견,수컷,7,입양,49,사람을 경계함,혼합색계열,예,미상,미상,유
965,골든 리트리버,암컷,30,미입양,61,중립,흰색계열,아니오,사망,미상,무
966,푸들,암컷,7,미입양,121,사람을 잘 따름,흰색계열,미상,백내장 살짝 있음,미상,무
967,믹스견,수컷,2.5,미입양,1,중립,검정색계열,아니오,미상,미상,유
968,믹스견,수컷,2.3,미입양,1,중립,황색계열,아니오,미상,미상,무
969,믹스견,암컷,2,미입양,1,중립,황색계열,아니오,미상,미상,무
970,믹스견,수컷,2.5,입양,1,중립,혼합색계열,아니오,미상,미상,무
971,믹스견,암컷,14,미입양,61,중립,황색계열,아니오,피부병 심함,미상,무
972,믹스견,암컷,3,입양,1,중립,흰색계열,아니오,미상,미상,무
973,믹스견,수컷,17,미입양,73,중립,혼합색계열,아니오,미상,미상,무
974,믹스견,수컷,14,미입양,61,중립,흰색계열,아니오,미상,미상,무
975,믹스견,수컷,15,미입양,1,사람을 경계함,검정색계열,아니오,미상,미상,무
976,화이트테리어,수컷,8,입양,145,사람을 잘 따름,흰색계열,아니오,미상,미상,무
977,믹스견,수컷,17,미입양,1,중립,황색계열,아니오,"대퇴골 골절, 예후 불량",미상,무
978,퍼그,암컷,8,입양,37,중립,황색계열,미상,미상,미상,무
979,믹스견,암컷,2,미입양,1,중립,황색계열,아니오,미상,미상,무
980,믹스견,암컷,2,미입양,1,중립,혼합색계열,아니오,미상,미상,무
981,포메라니안,수컷,4.2,입양,73,사람을 잘 따름,황색계열,아니오,미상,미상,무
982,진도견,암컷,18,미입양,85,사람을 잘 따름,황색계열,미상,미상,미상,무
983,믹스견,수컷,6,입양,97,사람을 경계함,혼합색계열,아니오,미상,미상,무
984,믹스견,암컷,3.5,미입양,1,사람을 경계함,황색계열,아니오,미상,미상,무
985,믹스견,암컷,3.5,미입양,1,사람을 경계함,황색계열,아니오,미상,미상,무
986,믹스견,암컷,3.5,미입양,1,사람을 경계함,흰색계열,아니오,미상,미상,무
987,믹스견,수컷,17,미입양,61,중립,흰색계열,아니오,"의식불명, 예후 불량함",미상,무
988,믹스견,수컷,18,미입양,61,중립,흰색계열,아니오,"의식 없음, 예후 매우 몹시 엄청 안 좋음",미상,무
989,올드 잉글리쉬 불독,암컷,15,미입양,37,중립,갈색계열,아니오,미상,미상,무
990,믹스견,암컷,0.7,입양,1,중립,흰색계열,아니오,미상,미상,무
991,믹스견,수컷,1,입양,1,중립,흰색계열,아니오,미상,미상,무
992,믹스견,수컷,1,입양,1,중립,흰색계열,아니오,미상,미상,무
993,믹스견,암컷,1,입양,1,중립,혼합색계열,아니오,미상,미상,무
994,믹스견,암컷,12,미입양,49,중립,혼합색계열,미상,뇌진탕,미상,무
995,믹스견,수컷,17,미입양,61,사람을 경계함,흰색계열,아니오,코가 핑크색임,미상,무
996,아키다,수컷,23,미입양,85,사람을 경계함,흰색계열,아니오,미상,미상,무
997,믹스견,암컷,8,미입양,73,사람을 잘 따름,흰색계열,미상,코가 까져있음,미상,무
998,진도견,수컷,12,미입양,25,사람을 잘 따름,황색계열,아니오,미상,미상,유
999,믹스견,수컷,10,입양,25,사람을 잘 따름,흰색계열,아니오,관리 잘되어있음,미상,유
1000,슈나우져,수컷,3,미입양,97,사람을 경계함,혼합색계열,아니오,미상,미상,무
1001,믹스견,수컷,3,미입양,12,중립,혼합색계열,아니오,미상,미상,무
1002,믹스견,암컷,2.8,미입양,12,중립,혼합색계열,아니오,미상,미상,유
1003,믹스견,암컷,3,입양,12,중립,흰색계열,아니오,미상,미상,무
1004,믹스견,암컷,3,미입양,12,중립,흰색계열,아니오,미상,미상,무
1005,믹스견,암컷,3,미입양,12,중립,혼합색계열,아니오,"코가 점박이임, 오른쪽 앞다리 발목 양말 털",미상,무
1006,믹스견,암컷,3,미입양,12,중립,황색계열,아니오,주둥이만 검정털임,미상,무
1007,믹스견,암컷,3,미입양,12,중립,혼합색계열,아니오,우측뒷발가락 피부병 있음,미상,무
1008,믹스견,수컷,3.5,미입양,12,중립,황색계열,아니오,미상,미상,무
1009,진도견,암컷,20,미입양,60,사람을 잘 따름,흰색계열,아니오,미상,미상,무
1010,화이트리트리버,수컷,24,입양,72,사람을 잘 따름,흰색계열,아니오,앞다리에 상처딱지 있음,미상,무
1011,믹스견,암컷,9,미입양,72,중립,황색계열,미상,미상,미상,무
1012,믹스견,수컷,10,미입양,84,중립,검정색계열,아니오,털관리 안되어있음,미상,무
1013,시츄,암컷,3,입양,12,중립,혼합색계열,미상,미상,미상,무
1014,시바,수컷,3.5,입양,12,중립,황색계열,아니오,미상,미상,유
1015,시바,암컷,10,미입양,72,사람을 잘 따름,검정색계열,미상,좌측 후지 거상,미상,무
1016,진도견,수컷,13,입양,48,사람을 잘 따름,흰색계열,아니오,미상,미상,무
1017,포메라니안,암컷,4,입양,48,중립,흰색계열,미상,미상,미상,유
1018,푸들,암컷,4,입양,60,사람을 잘 따름,갈색계열,미상,침을 많이 흘림,미상,유
1019,믹스견,수컷,10,미입양,108,사람을 경계함,흰색계열,아니오,미상,미상,무
1020,믹스견,암컷,4,미입양,12,중립,흰색계열,아니오,미상,미상,무
1021,믹스견,암컷,9,미입양,48,중립,흰색계열,아니오,코가 붉은색임,미상,무
1022,믹스견,암컷,22,입양,72,사람을 잘 따름,혼합색계열,미상,미상,미상,무
1023,믹스견,수컷,8,미입양,12,중립,황색계열,아니오,미상,미상,무
1024,믹스견,암컷,9,미입양,156,중립,흰색계열,미상,미상,미상,무
1025,진도견,수컷,19,미입양,84,중립,황색계열,아니오,미상,미상,무
1026,믹스견,암컷,3.5,미입양,12,중립,혼합색계열,아니오,미상,미상,무
1027,믹스견,암컷,4,미입양,12,중립,황색계열,아니오,미상,미상,무
1028,믹스견,암컷,3.5,미입양,12,중립,황색계열,아니오,미상,미상,무
1029,믹스견,수컷,4,미입양,12,중립,흰색계열,아니오,미상,미상,무
1030,믹스견,암컷,12,미입양,156,중립,흰색계열,아니오,미상,미상,무
1031,믹스견,수컷,8,미입양,84,사람을 경계함,황색계열,아니오,미상,미상,무
1032,프렌치 불독,암컷,6,입양,60,사람을 잘 따름,황색계열,미상,미상,미상,유
1033,믹스견,암컷,0.6,입양,1,중립,황색계열,아니오,코에 주름 있음,미상,무
1034,믹스견,수컷,0.6,입양,12,중립,혼합색계열,아니오,미상,미상,유
1035,믹스견,암컷,0.6,입양,12,중립,혼합색계열,아니오,미상,미상,무
1036,믹스견,수컷,15,미입양,72,사람을 경계함,흰색계열,아니오,미상,미상,무
1037,웰시 코기 펨브로크,암컷,12,미입양,84,중립,혼합색계열,미상,미상,미상,무
1038,믹스견,수컷,8,입양,48,중립,흰색계열,아니오,미상,미상,유
1039,믹스견,수컷,14,미입양,72,사람을 경계함,흰색계열,아니오,미상,미상,무
1040,요크셔 테리어,수컷,3.5,미입양,96,중립,황색계열,예,"눈곱이 많이 낌, 미용이 되어있음",미상,무
1041,시츄,암컷,5,미입양,96,중립,혼합색계열,미상,비만임,미상,무
1042,말티즈,암컷,3,미입양,72,중립,흰색계열,아니오,배에 상처가 심함,미상,무
1043,말티즈,암컷,5,입양,72,중립,흰색계열,미상,"비만, 관리되어있음",미상,무
1044,골든 리트리버,수컷,35,입양,72,중립,흰색계열,아니오,"코가 붉음, 얼굴에 주름있음",미상,무
1045,믹스견,암컷,2,입양,12,중립,혼합색계열,아니오,미상,미상,무
1046,믹스견,수컷,4,미입양,12,중립,혼합색계열,아니오,미상,미상,무
1047,믹스견,수컷,4,미입양,12,중립,혼합색계열,아니오,미상,미상,무
1048,믹스견,수컷,4,미입양,12,중립,혼합색계열,아니오,미상,미상,무
1049,믹스견,수컷,4,미입양,12,중립,혼합색계열,아니오,미상,미상,무
1050,믹스견,암컷,10,입양,48,사람을 경계함,혼합색계열,아니오,젖이 늘어져있음,미상,무
1051,시바,암컷,15,미입양,71,사람을 경계함,검정색계열,미상,미상,미상,무
1052,웰시 코기 펨브로크,암컷,12,입양,71,사람을 잘 따름,혼합색계열,미상,관리가 잘되어있음,미상,무
1053,믹스견,수컷,15,미입양,47,사람을 경계함,황색계열,아니오,머리 상처 있음,미상,무
1054,믹스견,수컷,15,미입양,59,중립,흰색계열,아니오,"왼쪽 대퇴골 이상, 얼굴 부어있음, 다리를 쓰지 못함, 예후 몹시 불량함",미상,무
1055,믹스견,암컷,14,입양,71,사람을 잘 따름,혼합색계열,아니오,미상,미상,유
1056,믹스견,수컷,18,미입양,59,중립,황색계열,아니오,털관리 전혀 되어있지 않음,미상,무
1057,믹스견,암컷,7,입양,59,중립,흰색계열,아니오,미상,미상,무
1058,믹스견,수컷,9,미입양,59,중립,혼합색계열,아니오,눈 충혈되어있음,미상,무
1059,믹스견,암컷,18,미입양,119,사람을 경계함,황색계열,아니오,미상,미상,무
1060,믹스견,미상,5,미입양,11,사람을 잘 따름,흰색계열,아니오,미상,미상,무
1061,믹스견,암컷,2,미입양,11,중립,혼합색계열,아니오,미상,미상,무
1062,믹스견,수컷,2,미입양,11,중립,혼합색계열,아니오,미상,미상,유
1063,믹스견,암컷,2,미입양,11,중립,혼합색계열,아니오,미상,미상,무
1064,믹스견,암컷,2,미입양,11,중립,혼합색계열,아니오,발가락만 흰색,미상,무
1065,프렌치 불독,암컷,5,입양,35,중립,혼합색계열,미상,미상,미상,무
1066,포메라니안,수컷,3.5,입양,11,중립,흰색계열,아니오,미상,미상,무
1067,스피츠,수컷,5,입양,71,중립,흰색계열,아니오,미상,미상,무
1068,믹스견,암컷,1,미입양,11,중립,혼합색계열,아니오,"탈수, 영양실조 있음",미상,무
1069,믹스견,수컷,1,미입양,11,중립,혼합색계열,아니오,"탈수, 영양실조 있음",미상,무
1070,믹스견,수컷,1,미입양,11,중립,혼합색계열,아니오,"탈수, 영양실조, 코에 황색점 있음",미상,무
1071,믹스견,암컷,1,미입양,11,중립,혼합색계열,아니오,"탈수, 영양실조 있음",미상,무
1072,믹스견,암컷,1,미입양,11,중립,혼합색계열,아니오,"탈수, 영양실조 있음",미상,무
1073,믹스견,수컷,3,미입양,11,중립,혼합색계열,아니오,미상,미상,무
1074,믹스견,암컷,3,미입양,11,사람을 경계함,흰색계열,아니오,미상,미상,무
1075,믹스견,암컷,3,미입양,11,중립,혼합색계열,아니오,미상,미상,무
1076,믹스견,암컷,3,미입양,11,중립,흰색계열,아니오,미상,미상,무
1077,푸들,수컷,5,입양,71,중립,갈색계열,아니오,미상,미상,무
1078,말티즈,수컷,4.5,입양,131,중립,흰색계열,예,혀 끝이 딱딱함,미상,무
1079,믹스견,암컷,13,미입양,47,중립,혼합색계열,아니오,"뒷다리 골절, 기립불가, 예후 몹시 불량함",미상,무
1080,믹스견,수컷,5,입양,47,사람을 경계함,황색계열,아니오,미상,미상,무
1081,믹스견,암컷,13,미입양,35,사람을 잘 따름,흰색계열,아니오,미상,미상,무
1082,믹스견,수컷,0.6,미입양,11,중립,갈색계열,아니오,수유개체,미상,무
1083,믹스견,수컷,0.6,미입양,11,중립,흰색계열,아니오,수유개체,미상,무
1084,믹스견,수컷,0.6,미입양,11,중립,흰색계열,아니오,수유개체,미상,무
1085,믹스견,암컷,0.6,미입양,11,중립,흰색계열,아니오,수유개체,미상,무
1086,믹스견,암컷,0.6,입양,11,중립,혼합색계열,아니오,수유개체,미상,무
1087,믹스견,수컷,0.6,입양,11,중립,혼합색계열,아니오,수유개체,미상,무
1088,믹스견,암컷,12,미입양,47,중립,흰색계열,아니오,미상,미상,무
1089,믹스견,수컷,4,미입양,11,중립,혼합색계열,아니오,미상,미상,무
1090,믹스견,암컷,4,미입양,11,중립,갈색계열,아니오,미상,미상,무
1091,믹스견,수컷,4,미입양,47,중립,황색계열,아니오,미상,미상,유
1092,베들링턴 테리어,수컷,9,미입양,83,중립,회색계열,아니오,미상,미상,무
1093,믹스견,수컷,3,입양,71,중립,검정색계열,아니오,고환 상처 있음,미상,무
1094,믹스견,수컷,5,미입양,35,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
1095,믹스견,암컷,3,미입양,11,사람을 경계함,황색계열,아니오,미상,미상,무
1096,믹스견,수컷,5,미입양,11,사람을 잘 따름,흰색계열,아니오,몹시마름,미상,무
1097,믹스견,암컷,12,입양,47,중립,갈색계열,미상,미상,미상,무
1098,말티즈,암컷,2.9,입양,47,사람을 잘 따름,흰색계열,미상,"유치와 영구치가 같이 나있음, 털관리 발톱 관리 안되어있음",미상,무
1099,포인터,암컷,20,입양,83,중립,갈색계열,미상,미상,미상,무
1100,믹스견,암컷,2.5,입양,1,중립,흰색계열,아니오,털복숭이임,미상,무
1101,믹스견,수컷,2.5,미입양,11,중립,검정색계열,아니오,미상,미상,무
1102,믹스견,암컷,2.5,미입양,11,중립,검정색계열,아니오,미상,미상,무
1103,믹스견,수컷,2.5,미입양,11,중립,흰색계열,아니오,털이 짧음,미상,무
1104,믹스견,암컷,15,미입양,47,사람을 잘 따름,흰색계열,아니오,미상,미상,무
1105,믹스견,수컷,9,입양,47,사람을 잘 따름,흰색계열,아니오,"털 관리 전혀 되어있지 않음, 떠돌이 생활 오래한 듯함",미상,무
1106,푸들,수컷,3,미입양,131,중립,갈색계열,미상,치석 매우 많음,미상,유
1107,믹스견,암컷,4,미입양,11,사람을 잘 따름,흰색계열,아니오,미상,미상,무
1108,믹스견,암컷,9,미입양,47,중립,흰색계열,미상,미상,미상,무
1109,믹스견,암컷,10,미입양,35,중립,황색계열,아니오,다리가 얇고 김,미상,무
1110,포메라니안,수컷,3.5,입양,47,사람을 경계함,흰색계열,예,피부병 매우 심함,미상,무
1111,치와와,암컷,2,입양,59,중립,혼합색계열,미상,미상,미상,무
1112,믹스견,수컷,20,미입양,83,중립,흰색계열,아니오,얼굴에 상처가 많음,미상,무
1113,믹스견,수컷,9,입양,46,사람을 경계함,흰색계열,아니오,미상,미상,무
1114,믹스견,수컷,2.5,미입양,10,중립,황색계열,아니오,미상,미상,무
1115,믹스견,암컷,2.5,미입양,10,중립,황색계열,아니오,미상,미상,무
1116,믹스견,수컷,2.5,미입양,10,중립,흰색계열,아니오,미상,미상,무
1117,믹스견,암컷,9,미입양,46,중립,황색계열,아니오,미상,미상,무
1118,믹스견,수컷,11,미입양,34,중립,흰색계열,아니오,미상,미상,무
1119,믹스견,수컷,3.5,입양,10,중립,혼합색계열,아니오,발이 다 황색임,미상,무
1120,믹스견,암컷,8,미입양,46,중립,혼합색계열,아니오,미상,미상,무
1121,믹스견,수컷,2.5,미입양,10,중립,흰색계열,아니오,미상,미상,무
1122,믹스견,암컷,2.5,미입양,10,중립,흰색계열,아니오,미상,미상,무
1123,믹스견,암컷,2.5,미입양,10,중립,흰색계열,아니오,미상,미상,무
1124,믹스견,수컷,2.5,미입양,10,중립,혼합색계열,아니오,미상,미상,무
1125,믹스견,암컷,2.5,입양,10,중립,황색계열,아니오,미상,미상,무
1126,보더 콜리,수컷,18,미입양,58,중립,혼합색계열,아니오,미상,미상,무
1127,보더 콜리,암컷,17,미입양,58,중립,혼합색계열,미상,미상,미상,무
1128,코카 스파니엘,수컷,4,입양,10,중립,혼합색계열,아니오,목욕흔적 있음,미상,무
1129,웰시 코기 카디건,암컷,2.5,미입양,10,중립,혼합색계열,아니오,미상,미상,무
1130,진도견,수컷,21,입양,58,사람을 잘 따름,흰색계열,아니오,미상,미상,무
1131,믹스견,암컷,8,미입양,34,사람을 경계함,검정색계열,아니오,미상,미상,무
1132,믹스견,암컷,0.9,미입양,10,중립,흰색계열,아니오,수유개체,미상,무
1133,믹스견,수컷,0.9,미입양,10,중립,혼합색계열,아니오,수유개체,미상,무
1134,믹스견,암컷,0.9,미입양,10,중립,혼합색계열,아니오,수유개체,미상,무
1135,믹스견,수컷,0.9,미입양,10,중립,혼합색계열,아니오,수유개체,미상,무
1136,믹스견,암컷,0.9,미입양,10,중립,혼합색계열,아니오,수유개체,미상,무
1137,믹스견,수컷,0.9,미입양,10,중립,혼합색계열,아니오,수유개체,미상,무
1138,믹스견,암컷,0.9,미입양,10,중립,혼합색계열,아니오,수유개체,미상,무
1139,믹스견,암컷,15,미입양,46,사람을 경계함,황색계열,아니오,미상,미상,무
1140,믹스견,수컷,5,미입양,58,사람을 경계함,검정색계열,아니오,털이 엉켜있음,미상,무
1141,믹스견,수컷,7,미입양,94,중립,혼합색계열,아니오,미상,미상,무
1142,믹스견,암컷,12,미입양,46,중립,황색계열,아니오,미상,미상,무
1143,믹스견,수컷,9,미입양,130,중립,흰색계열,아니오,"털이 엉켜있음, 입이 점박이임",미상,무
1144,스피츠,수컷,9,입양,70,중립,흰색계열,예,"눈물자국이 진함, 털관리가 되어있음",미상,무
1145,라브라도 리트리버,수컷,25,미입양,70,중립,흰색계열,아니오,비만임,있음,무
1146,믹스견,암컷,4,미입양,10,중립,혼합색계열,아니오,미상,미상,무
1147,믹스견,수컷,4,미입양,10,중립,혼합색계열,아니오,미상,미상,무
1148,믹스견,수컷,4,미입양,10,중립,혼합색계열,아니오,미상,미상,무
1149,믹스견,암컷,4,미입양,10,중립,혼합색계열,아니오,미상,미상,무
1150,믹스견,암컷,4,미입양,10,중립,혼합색계열,아니오,왼쪽 코옆 피부염 있음,미상,무
1151,믹스견,수컷,4,미입양,10,중립,혼합색계열,아니오,미상,미상,무
1152,믹스견,암컷,4,미입양,10,중립,황색계열,아니오,피부염 있음 (오른쪽 입 옆),미상,무
1153,믹스견,암컷,14,미입양,46,중립,흰색계열,아니오,젖이 늦어져있음,미상,무
1154,믹스견,암컷,8,미입양,58,중립,검정색계열,아니오,젖이 늘어져있음,미상,무
1155,믹스견,암컷,7,입양,34,중립,흰색계열,아니오,"피부염, 모낭충 의심, 피부상태 매우 심각함",미상,무
1156,믹스견,암컷,5,미입양,34,사람을 잘 따름,흰색계열,아니오,"다리 다침, 임신 추정",미상,무
1157,믹스견,수컷,3,미입양,10,중립,검정색계열,아니오,"탈모, 피부병, 매우 마름",미상,무
1158,푸들,수컷,2,입양,10,중립,갈색계열,아니오,털관리가 안되어있음,미상,무
1159,믹스견,암컷,4,미입양,10,사람을 경계함,흰색계열,아니오,미상,미상,무
1160,포메라니안,수컷,1.85,입양,10,중립,갈색계열,아니오,미상,미상,무
1161,믹스견,수컷,3.5,미입양,10,중립,흰색계열,아니오,귀가 늘어져 있음,미상,무
1162,믹스견,수컷,4,미입양,10,중립,흰색계열,아니오,귀가 늘어져 있음,미상,무
1163,믹스견,수컷,23,미입양,46,중립,흰색계열,아니오,미상,미상,무
1164,믹스견,수컷,8,미입양,34,중립,황색계열,아니오,"눈썹 위에 살짝 상처 있음, 황색",미상,무
1165,믹스견,암컷,6,입양,10,중립,혼합색계열,아니오,미상,미상,무
1166,믹스견,수컷,6,입양,10,중립,황색계열,아니오,콧에 상처 있음,미상,무
1167,믹스견,암컷,8,입양,58,중립,흰색계열,미상,미상,미상,무
1168,믹스견,수컷,19,미입양,34,중립,흰색계열,아니오,다리가 짧음,미상,무
1169,포메라니안,암컷,2,입양,10,중립,흰색계열,아니오,건강함,미상,무
1170,코카 스파니엘,암컷,6,입양,70,중립,흰색계열,미상,눈물자국 있음,미상,무
1171,푸들,수컷,6,미입양,118,중립,갈색계열,미상,털관리가 안된편,미상,유
1172,믹스견,수컷,6,미입양,10,사람을 경계함,흰색계열,아니오,미상,미상,무
1173,믹스견,수컷,6,미입양,9,중립,흰색계열,아니오,미상,미상,무
1174,시츄,암컷,4,입양,81,중립,혼합색계열,미상,미상,있음,무
1175,믹스견,암컷,14,미입양,33,중립,황색계열,아니오,젖이 늘어져있음,미상,무
1176,믹스견,암컷,10,미입양,33,중립,흰색계열,아니오,미상,미상,무
1177,믹스견,암컷,10,미입양,33,중립,황색계열,미상,젖이 늦어져 있음,미상,무
1178,믹스견,암컷,4,입양,9,중립,흰색계열,아니오,미상,미상,무
1179,믹스견,수컷,4,미입양,9,중립,흰색계열,아니오,미상,미상,무
1180,믹스견,암컷,13,입양,33,사람을 잘 따름,혼합색계열,미상,미상,미상,무
1181,시바,수컷,12,미입양,69,중립,황색계열,아니오,"우측 대퇴골 골절 (교통사고), 예후 매우 불량",미상,무
1182,빠삐용,수컷,4.5,입양,57,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
1183,믹스견,수컷,18,미입양,57,중립,흰색계열,아니오,"탈모 증상 있음, 피부병 매우 심함",미상,무
1184,믹스견,암컷,20,미입양,45,사람을 경계함,검정색계열,미상,미상,미상,무
1185,포메라니안,암컷,4,입양,45,중립,흰색계열,미상,미상,미상,무
1186,믹스견,수컷,4.5,입양,45,중립,흰색계열,아니오,미상,미상,무
1187,푸들,암컷,4,입양,33,중립,갈색계열,아니오,"왼쪽뒷다리 대퇴골 골절 의심, 절뚝거리면서 걸음",미상,무
1188,아키다,수컷,25,미입양,57,중립,흰색계열,아니오,미상,미상,무
1189,믹스견,수컷,18,미입양,57,중립,흰색계열,아니오,매우 말랐음,미상,무
1190,믹스견,암컷,4,미입양,57,중립,흰색계열,미상,미상,미상,무
1191,믹스견,암컷,16,입양,33,중립,혼합색계열,미상,미상,미상,무
1192,요크셔 테리어,수컷,2.7,입양,45,중립,혼합색계열,아니오,말랐음,미상,무
1193,스피츠,암컷,5,입양,33,중립,흰색계열,미상,미상,미상,유
1194,믹스견,수컷,10,미입양,33,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
1195,믹스견,암컷,40,미입양,57,중립,황색계열,미상,마취상태로 깨어나지 못함,미상,무
1196,믹스견,수컷,14,미입양,153,중립,검정색계열,아니오,미상,미상,무
1197,믹스견,수컷,8,미입양,153,중립,흰색계열,아니오,"피부병 심함 (탈모), 기생충성 피부병 추정",미상,무
1198,믹스견,수컷,3,입양,9,중립,흰색계열,아니오,미상,미상,무
1199,믹스견,암컷,4,입양,9,중립,혼합색계열,아니오,미상,미상,무
1200,믹스견,수컷,10,미입양,57,중립,황색계열,아니오,미상,미상,무
1201,보더 콜리,암컷,10,미입양,57,사람을 경계함,혼합색계열,미상,미상,미상,무
1202,믹스견,암컷,4,입양,9,중립,흰색계열,아니오,건강함,미상,무
1203,믹스견,암컷,2.5,미입양,9,중립,혼합색계열,아니오,건강함,미상,무
1204,믹스견,수컷,2.5,미입양,9,중립,혼합색계열,아니오,미상,미상,무
1205,믹스견,수컷,2.5,미입양,9,중립,흰색계열,아니오,건강함,미상,무
1206,믹스견,암컷,3,미입양,9,중립,혼합색계열,아니오,미상,미상,무
1207,믹스견,수컷,20,미입양,33,사람을 경계함,흰색계열,아니오,미상,미상,유
1208,믹스견,암컷,7,미입양,153,중립,흰색계열,미상,매우 말랐음,미상,무
1209,믹스견,암컷,9,미입양,69,중립,황색계열,아니오,왼쪽눈 체리 아이 결막증,미상,무
1210,믹스견,수컷,35,미입양,69,중립,혼합색계열,아니오,"교통사고로 기립불능, 예후 매우 불량",미상,무
1211,믹스견,암컷,3,미입양,9,중립,혼합색계열,아니오,미상,미상,무
1212,믹스견,수컷,3,입양,9,중립,혼합색계열,아니오,미상,미상,무
1213,믹스견,암컷,3,미입양,9,중립,혼합색계열,아니오,미상,미상,무
1214,믹스견,암컷,3,미입양,9,중립,황색계열,아니오,미상,미상,무
1215,믹스견,암컷,3,미입양,9,중립,혼합색계열,아니오,미상,미상,무
1216,믹스견,수컷,3,미입양,9,중립,혼합색계열,아니오,미상,미상,무
1217,믹스견,수컷,3,미입양,9,중립,혼합색계열,아니오,미상,미상,무
1218,믹스견,수컷,3,미입양,9,중립,혼합색계열,아니오,미상,미상,무
1219,믹스견,수컷,9,미입양,152,사람을 경계함,혼합색계열,아니오,미상,미상,무
1220,믹스견,수컷,8,미입양,56,중립,흰색계열,아니오,매우 마름,미상,무
1221,믹스견,암컷,8,미입양,152,중립,흰색계열,아니오,미상,미상,무
1222,시바,암컷,12,입양,44,사람을 잘 따름,혼합색계열,미상,미상,미상,무
1223,믹스견,암컷,20,미입양,44,중립,검정색계열,아니오,미상,미상,무
1224,믹스견,암컷,18,미입양,44,중립,혼합색계열,아니오,"우측 후지 절단 (뼈가 보임), 예후 몹시 불량",미상,무
1225,믹스견,수컷,15,미입양,152,중립,흰색계열,아니오,살에 파묻혀있음,미상,유
1226,치와와,암컷,2.5,입양,152,중립,흰색계열,미상,미상,미상,무
1227,푸들,암컷,3.5,입양,56,중립,갈색계열,미상,미상,미상,무
1228,믹스견,암컷,13,입양,32,중립,갈색계열,아니오,미상,미상,무
1229,푸들,수컷,2.5,입양,152,중립,갈색계열,아니오,미용했음,미상,무
1230,믹스견,암컷,5,미입양,8,중립,혼합색계열,아니오,미상,미상,무
1231,믹스견,암컷,17,미입양,44,사람을 경계함,검정색계열,미상,미상,미상,무
1232,믹스견,암컷,16,미입양,32,사람을 경계함,흰색계열,미상,미상,미상,무
1233,믹스견,암컷,10,미입양,152,중립,흰색계열,아니오,매우마름,미상,무
1234,포메라니안,수컷,4,입양,68,중립,흰색계열,미상,털이 많이 엉켜있음,미상,무
1235,믹스견,암컷,5,미입양,152,중립,검정색계열,미상,말랐음,미상,무
1236,믹스견,암컷,7,미입양,44,중립,갈색계열,미상,미상,미상,무
1237,믹스견,수컷,3.5,입양,8,중립,황색계열,아니오,미상,미상,무
1238,믹스견,암컷,17,미입양,44,중립,흰색계열,아니오,"식욕부진, 매우 말랐음",미상,유
1239,믹스견,암컷,30,입양,56,중립,혼합색계열,미상,미상,미상,무
1240,푸들,암컷,6,입양,80,중립,갈색계열,미상,유선종양,미상,무
1241,믹스견,수컷,9,미입양,152,중립,황색계열,아니오,"후구마비, 예후불량",미상,무
1242,믹스견,암컷,18,미입양,8,중립,흰색계열,아니오,"털갈이 중, 피부병, 진드기 많음",미상,무
