,품종,성별,무게(Kg),상태,나이,성격,색,중성화유무,건강,칩등록여부,보유물건
143,말티즈,수컷,0.2,미입양,3,중립,흰색계열,아니오,예후불량,미상,무
144,시바,수컷,20,미입양,27,사람을 잘 따름,갈색계열,아니오,미상,미상,유
145,믹스견,암컷,15,미입양,27,사람을 잘 따름,갈색계열,미상,좌측후지 대퇴골 원위부 골절,미상,유
146,믹스견,수컷,30,미입양,63,사람을 경계함,갈색계열,아니오,미상,미상,유
147,믹스견,수컷,30,미입양,63,사람을 경계함,흰색계열,미상,좌측 옆구리 쪽 피부염,미상,무
148,비숑 프리제,수컷,3,입양,147,사람을 잘 따름,흰색계열,아니오,"편측 잠복고환 추정, 유치 잔존, 부정교합",미상,무
149,믹스견,암컷,10,미입양,51,중립,갈색계열,미상,"심장사상충 양성, 진드기 감염",미상,유
150,웰시 코기 카디건,수컷,15,입양,27,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
151,말티즈,수컷,2,입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,무
152,믹스견,암컷,3,미입양,2,중립,혼합색계열,아니오,전신 모낭충이 심함,미상,무
153,믹스견,암컷,2,미입양,2,중립,혼합색계열,아니오,전신 모낭충이 심함,미상,무
154,믹스견,수컷,2,미입양,2,중립,혼합색계열,아니오,전신 모낭충이 심함,미상,무
155,믹스견,수컷,2,미입양,2,중립,흰색계열,아니오,전신 모낭충이 심함,미상,무
156,믹스견,수컷,2,미입양,2,중립,검정색계열,아니오,전신 모낭충이 심함,미상,무
157,믹스견,암컷,10,미입양,50,중립,갈색계열,아니오,전신 모낭충이 심함,미상,무
158,스피츠,수컷,6,입양,2,사람을 잘 따름,흰색계열,아니오,외이염 추정,미상,무
159,비숑 프리제,수컷,4,입양,146,사람을 잘 따름,흰색계열,아니오,유치잔존,미상,무
160,믹스견,암컷,2,미입양,2,중립,혼합색계열,아니오,미상,미상,무
161,믹스견,수컷,2,입양,2,중립,혼합색계열,아니오,미상,미상,무
162,믹스견,암컷,2,입양,2,중립,혼합색계열,아니오,미상,미상,무
163,진도견,수컷,25,미입양,38,사람을 경계함,흰색계열,아니오,미상,미상,유
164,비숑 프리제,수컷,6,입양,86,사람을 잘 따름,흰색계열,아니오,"치주염, 생식기 쪽 사마귀",미상,무
165,보스턴 테리어,암컷,10,입양,26,사람을 잘 따름,혼합색계열,미상,미상,미상,무
166,미디엄 푸들,수컷,4,입양,50,사람을 잘 따름,갈색계열,아니오,미상,미상,무
167,시츄,수컷,8,입양,26,사람을 잘 따름,혼합색계열,예,왼쪽 눈에 눈꼽이 심함,미상,무
168,진도견,미상,15,미입양,38,사람을 경계함,혼합색계열,미상,미상,미상,무
169,믹스견,암컷,10,미입양,38,사람을 경계함,혼합색계열,미상,미상,미상,무
170,믹스견,수컷,30,미입양,74,사람을 잘 따름,흰색계열,아니오,미상,미상,유
171,믹스견,암컷,25,입양,62,사람을 잘 따름,흰색계열,미상,미상,미상,무
172,믹스견,암컷,15,미입양,2,중립,흰색계열,미상,미상,미상,무
173,믹스견,수컷,15,미입양,2,사람을 경계함,흰색계열,아니오,미상,미상,무
174,믹스견,수컷,15,미입양,2,중립,흰색계열,아니오,미상,미상,무
175,믹스견,수컷,9,입양,146,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
176,믹스견,암컷,25,미입양,74,사람을 경계함,흰색계열,미상,배가 불러있음,미상,무
177,푸들,암컷,3,입양,2,중립,갈색계열,미상,우측 전지 골절,미상,유
178,믹스견,수컷,2.5,입양,2,중립,흰색계열,아니오,미상,미상,무
179,믹스견,수컷,20,미입양,38,사람을 잘 따름,혼합색계열,아니오,미상,미상,유
180,말티즈,수컷,3,입양,2,사람을 잘 따름,흰색계열,아니오,미상,미상,유
181,비숑 프리제,수컷,2,입양,2,중립,흰색계열,아니오,미상,미상,유
182,비숑 프리제,수컷,4,입양,26,중립,흰색계열,예,눈꼽이 심함,미상,유
183,포메라니안,수컷,3,입양,62,중립,흰색계열,아니오,"잠복고환, 등쪽엉덩이 피부염 추정",미상,무
184,믹스견,암컷,1,미입양,1,사람을 잘 따름,흰색계열,아니오,미상,미상,무
185,말티즈,암컷,3,입양,85,중립,혼합색계열,미상,유선종양 있음,미상,무
186,진도견,암컷,25,미입양,49,사람을 잘 따름,흰색계열,미상,미상,미상,유
187,믹스견,암컷,1,입양,1,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
188,진도견,수컷,30,입양,61,사람을 잘 따름,흰색계열,아니오,미상,미상,무
189,시베리안 허스키,암컷,30,미입양,49,사람을 잘 따름,혼합색계열,아니오,배가 불러있음,미상,무
190,믹스견,암컷,1,미입양,1,중립,흰색계열,아니오,미상,미상,무
191,믹스견,암컷,1,미입양,1,중립,흰색계열,아니오,미상,미상,무
192,믹스견,수컷,1,입양,1,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
193,진도견,수컷,30,입양,25,사람을 잘 따름,흰색계열,아니오,미상,미상,무
194,믹스견,암컷,15,미입양,61,사람을 경계함,혼합색계열,미상,미상,미상,무
195,믹스견,수컷,20,미입양,61,중립,갈색계열,아니오,좌측전지 발가락 덫에 걸림,미상,무
196,스피츠,암컷,6,입양,61,중립,흰색계열,미상,좌측후지 골절 추정,미상,무
197,믹스견,암컷,6,입양,61,사람을 잘 따름,갈색계열,미상,털 길게 있었으나 구조자가 습득 후 미용,미상,무
198,믹스견,수컷,12,미입양,1,사람을 경계함,갈색계열,아니오,미상,미상,무
199,믹스견,수컷,15,미입양,1,사람을 경계함,갈색계열,아니오,미상,미상,무
200,믹스견,수컷,1,미입양,1,중립,검정색계열,아니오,미상,미상,유
201,믹스견,암컷,1,미입양,1,중립,검정색계열,아니오,미상,미상,유
202,믹스견,수컷,1,미입양,1,중립,검정색계열,아니오,미상,미상,유
203,믹스견,수컷,1,미입양,1,중립,검정색계열,아니오,미상,미상,유
204,믹스견,수컷,1,입양,1,중립,검정색계열,아니오,미상,미상,유
205,믹스견,수컷,1,미입양,1,중립,검정색계열,아니오,미상,미상,유
206,시츄,수컷,8,입양,61,사람을 잘 따름,혼합색계열,예,털 많이 엉켜있음,미상,무
207,믹스견,수컷,1,미입양,1,중립,혼합색계열,아니오,미상,미상,무
208,믹스견,암컷,1,입양,1,중립,갈색계열,아니오,미상,미상,무
209,믹스견,수컷,1,미입양,1,중립,갈색계열,아니오,미상,미상,무
210,믹스견,수컷,1,입양,1,중립,검정색계열,아니오,미상,미상,무
211,믹스견,암컷,1,미입양,1,중립,흰색계열,아니오,미상,미상,무
212,믹스견,수컷,1,미입양,1,중립,검정색계열,아니오,미상,미상,무
213,믹스견,암컷,1,미입양,1,중립,검정색계열,아니오,미상,미상,무
214,믹스견,암컷,0.5,미입양,1,중립,혼합색계열,아니오,미상,미상,무
215,믹스견,수컷,0.5,미입양,1,중립,흰색계열,아니오,미상,미상,무
216,믹스견,암컷,0.5,입양,1,중립,흰색계열,아니오,미상,미상,무
217,믹스견,수컷,0.2,미입양,1,중립,흰색계열,아니오,미상,미상,무
218,믹스견,암컷,0.5,미입양,1,중립,흰색계열,아니오,미상,미상,무
219,믹스견,암컷,15,미입양,37,사람을 경계함,흰색계열,아니오,미상,미상,무
220,믹스견,수컷,15,미입양,37,사람을 경계함,혼합색계열,아니오,미상,미상,무
221,믹스견,수컷,4,미입양,1,사람을 경계함,갈색계열,아니오,미상,미상,무
222,믹스견,암컷,20,미입양,61,사람을 경계함,흰색계열,미상,미상,미상,유
223,믹스견,암컷,15,입양,37,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
224,믹스견,암컷,0.25,입양,1,중립,황색계열,아니오,미상,미상,무
225,믹스견,암컷,0.25,미입양,1,중립,혼합색계열,아니오,미상,미상,무
226,믹스견,수컷,0.25,입양,1,중립,갈색계열,아니오,미상,미상,무
227,믹스견,수컷,0.25,입양,1,중립,흰색계열,아니오,미상,미상,무
228,믹스견,암컷,0.25,입양,1,중립,갈색계열,아니오,미상,미상,무
229,믹스견,수컷,0.25,미입양,1,중립,흰색계열,아니오,미상,미상,무
230,믹스견,수컷,0.25,입양,1,중립,흰색계열,아니오,미상,미상,무
231,말티즈,수컷,3,입양,1,사람을 잘 따름,검정색계열,예,미상,미상,무
232,보더 콜리,수컷,20,입양,37,사람을 잘 따름,혼합색계열,예,심장사상충 양성,미상,유
233,사모예드,암컷,15,입양,145,사람을 잘 따름,흰색계열,미상,미상,미상,무
234,믹스견,수컷,3,미입양,1,사람을 경계함,혼합색계열,아니오,미상,미상,무
235,믹스견,암컷,3,미입양,1,사람을 경계함,혼합색계열,아니오,미상,미상,무
236,믹스견,수컷,1,미입양,1,사람을 잘 따름,갈색계열,아니오,미상,미상,무
237,믹스견,암컷,4,입양,25,중립,혼합색계열,미상,미상,미상,유
238,비숑 프리제,암컷,5,입양,25,중립,흰색계열,미상,털 뭉침 심함,미상,무
239,포메라니안,암컷,3.5,입양,85,사람을 경계함,혼합색계열,미상,털 뭉침 심함,미상,무
